code,DESCRIPCION,STOCK,location_id,Parent_location_id,CATEGORIA,COD.PROV,PRECIO,PROVEEDOR,code_ok,Codigo Categoria,Almacén,,categoria,alamcen,unidades,
1 - 0  0  1,ASPERSORES TORO Serie 730,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-001,1,Fontanería,FONTANERIA,FONTANERIA,1  -    -    - ,,
1 - 0  0  2,ASPERSORES TORO Serie 855 S,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-002,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  0  3,REDUCCIONES - Varios,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-003,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  0  4,"COLLARINES AVK Serie 10 Ø 125 x 1 1/2""",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-004,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  0  5,"COLLARINES AVK Serie 10 Ø 110 x 1 1/4""",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-005,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  0  6,"COLLARINES AVK Serie 10 Ø 90 x 1 1/4""",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-006,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  0  7,"COLLARINES AVK Serie 10 Ø 75 x 1 1/4""",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-007,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  0  8,"COLLARINES AVK Serie 10 Ø 63 x 1""",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-008,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  0  9,"COLLARINES AVK Serie 10 Ø 50 x 1""",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-009,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  1  0,"COLLARINES AVK Serie 10 Ø 40 x 1 3/4""",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-010,1,Fontanería,FONTANERIA,FONTANERIA,1,,
